subject_name,course_name,language,absolute_course_url
Computer Science Courses,Machine Learning,English,https://www.classcentral.com/course/machine-learning-835
Computer Science Courses,Elements of AI,English,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science Courses,Introduction to Computer Science and Programming Using Python,English,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science Courses,CS50's Introduction to Computer Science,English,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science Courses,Machine Learning for Musicians and Artists,English,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science Courses,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",English,https://www.classcentral.com/course/algorithms-divide-conquer-374
Computer Science Courses,Functional Programming Principles in Scala,English,https://www.classcentral.com/course/progfun-422
Computer Science Courses,"Algorithms, Part I",English,https://www.classcentral.com/course/algs4partI-339
Computer Science Courses,Cryptography I,English,https://www.classcentral.com/course/crypto-616
Computer Science Courses,Functional Program Design in Scala,English,https://www.classcentral.com/course/progfun2-1186
Computer Science Courses,Machine Learning Foundations: A Case Study Approach,English,https://www.classcentral.com/course/ml-foundations-4352
Computer Science Courses,"Internet History, Technology, and Security",English,https://www.classcentral.com/course/insidetheinternet-335
Computer Science Courses,Introduction to Linux,English,https://www.classcentral.com/course/edx-introduction-to-linux-1857
Computer Science Courses,Principles of Computing (Part 1),English,https://www.classcentral.com/course/principlescomputing1-1724
Computer Science Courses,CS188.1x: Artificial Intelligence,English,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445
Computer Science Courses,Practical Machine Learning,English,https://www.classcentral.com/course/predmachlearn-1719
Computer Science Courses,Software Security ,English,https://www.classcentral.com/course/software-security-1728
Computer Science Courses,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),English,https://www.classcentral.com/course/build-a-computer-3234
Science Courses,Mountains 101,English,https://www.classcentral.com/course/mountains-101-7455
Computer Science Courses,Transport Systems: Global Issues and Future Innovations,English,https://www.classcentral.com/course/transport-systems-global-issues-and-future-innova-12705
Computer Science Courses,Algorithmic Toolbox,English,https://www.classcentral.com/course/algorithmic-toolbox-5471
Computer Science Courses,"Cloud Computing Concepts, Part 1",English,https://www.classcentral.com/course/cloud-computing-2717
Computer Science Courses,Introduction to Artificial Intelligence,English,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301
Computer Science Courses,Machine Learning: Regression,English,https://www.classcentral.com/course/ml-regression-4289
Science Courses,Forensic Facial Reconstruction: Finding Mr. X,English,https://www.classcentral.com/course/forensic-facial-reconstruction-7641
Science Courses,Extinctions: Past and Present,English,https://www.classcentral.com/course/extinctions-past-present-8004
Science Courses,Quantum Mechanics for Everyone,English,https://www.classcentral.com/course/edx-quantum-mechanics-for-everyone-8284
Science Courses,The Science of Everyday Thinking,English,https://www.classcentral.com/course/edx-the-science-of-everyday-thinking-1332
Computer Science Courses,Probabilistic Graphical Models 1: Representation,English,https://www.classcentral.com/course/probabilistic-graphical-models-309
Computer Science Courses,Web Security Fundamentals,English,https://www.classcentral.com/course/edx-web-security-fundamentals-8726
Computer Science Courses,"Algorithms, Part II",English,https://www.classcentral.com/course/algs4partII-340
Computer Science Courses,Principles of Computing (Part 2),English,https://www.classcentral.com/course/principlescomputing2-3198
Computer Science Courses,Automata Theory,English,https://www.classcentral.com/course/stanford-openedx-automata-theory-376
Computer Science Courses,Neural Networks and Deep Learning,English,https://www.classcentral.com/course/neural-networks-deep-learning-9058
Art & Design Courses,Gamification,English,https://www.classcentral.com/course/gamification-343
Science Courses,Dino 101: Dinosaur Paleobiology,English,https://www.classcentral.com/course/dino101-1057
Science Courses,Vital Signs: Understanding What the Body Is Telling Us,English,https://www.classcentral.com/course/vitalsigns-1887
Science Courses,The Science of the Solar System,English,https://www.classcentral.com/course/solarsystem-1813
Science Courses,Introduction to Biology - The Secret of Life,English,https://www.classcentral.com/course/edx-introduction-to-biology-the-secret-of-life-637
Science Courses,Introduction to Genetics and Evolution,English,https://www.classcentral.com/course/geneticsevolution-381
Computer Science Courses,Algorithmic Thinking (Part 1),English,https://www.classcentral.com/course/algorithmicthink1-1725
Computer Science Courses,Introduction to Machine Learning Course,English,https://www.classcentral.com/course/udacity-introduction-to-machine-learning-course-2996
Computer Science Courses,Text Retrieval and Search Engines,English,https://www.classcentral.com/course/textretrieval-2734
Computer Science Courses,The Nature of Code,English,https://www.classcentral.com/course/kadenze-the-nature-of-code-3777
Art & Design Courses,Sustainability in Architecture: An Interdisciplinary Introduction,English,https://www.classcentral.com/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438
Art & Design Courses,How to Write Your First Song,English,https://www.classcentral.com/course/songwriting-3369
Art & Design Courses,Introduction to Real-Time Audio Programming in ChucK,English,https://www.classcentral.com/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
Science Courses,Astrobiology and the Search for Extraterrestrial Life,English,https://www.classcentral.com/course/astrobio-415
Science Courses,How Things Work: An Introduction to Physics,English,https://www.classcentral.com/course/how-things-work-431
Science Courses,Introductory Human Physiology,English,https://www.classcentral.com/course/humanphysio-380
Computer Science Courses,Unlocking Information Security: Part Ⅰ,English,https://www.classcentral.com/course/edx-unlocking-information-security-part-16964
Computer Science Courses,Machine Learning With Big Data,English,https://www.classcentral.com/course/machinelearningwithbigdata-4238
Computer Science Courses,Julia Scientific Programming,English,https://www.classcentral.com/course/julia-programming-7092
Computer Science Courses,Introduction to Cyber Security,English,https://www.classcentral.com/course/introduction-to-cyber-security-2448
Computer Science Courses,Computer Science 101,English,https://www.classcentral.com/course/stanford-openedx-computer-science-101-2175
Art & Design Courses,Sound Production in Ableton Live for Musicians and Artists,English,https://www.classcentral.com/course/kadenze-sound-production-in-ableton-live-for-musicians-and-artists-3765
Art & Design Courses,Songwriting: Writing the Lyrics,English,https://www.classcentral.com/course/songwriting-lyrics-523
Art & Design Courses,Guitar for Beginners,English,https://www.classcentral.com/course/guitar-522
Art & Design Courses,The Music of the Beatles,English,https://www.classcentral.com/course/beatles-1135
Programming Courses,Programming for Everybody (Getting Started with Python),English,https://www.classcentral.com/course/python-4319
Science Courses,Understanding the Brain: The Neurobiology of Everyday Life,English,https://www.classcentral.com/course/neurobio-1606
Science Courses,Nutrition and Health: Human Microbiome,English,https://www.classcentral.com/course/edx-nutrition-and-health-human-microbiome-9565
Science Courses,Técnicas Cuantitativas y Cualitativas para la Investigación,English,https://www.classcentral.com/course/edx-tecnicas-cuantitativas-y-cualitativas-para-la-investigacion-6601
Science Courses,Medical Neuroscience,English,https://www.classcentral.com/course/medicalneuro-384
Science Courses,Introduction to Neuroeconomics: How the Brain Makes Decisions,English,https://www.classcentral.com/course/neuroec-1387
Science Courses,Atmospheric Chemistry: Planets and Life Beyond Earth,English,https://www.classcentral.com/course/atmospheric-chemistry-planets-and-life-beyond-ear-12703
Science Courses,Ecology and Wildlife Conservation,English,https://www.classcentral.com/course/ecology-and-wildlife-conservation-13667
Computer Science Courses,Introduction to the Internet of Things and Embedded Systems,English,https://www.classcentral.com/course/iot-4338
