subject_name,course_name,course_institution,course_provider,course_duration_raw,course_start,certificate,flexible deadline,language,rank,absolute_course_url
Art & Design Courses,Introduction to Classical Music,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Yale University"",
                                      ""institutionId"": ""99"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to Classical Music"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""2987""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Yale University"",
                                      ""institutionId"": ""99"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to Classical Music"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""2987""
                                    }}","3-5 hours a week
                              ,                              9 weeks long
                            ",1/27/2020,1,,English,0,https://www.classcentral.com/course/introclassicalmusic-2987
Art & Design Courses,"History of Rock, Part One","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Rochester"",
                                      ""institutionId"": ""57"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""History of Rock, Part One"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""690""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Rochester"",
                                      ""institutionId"": ""57"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""History of Rock, Part One"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""690""
                                    }}","2-4 hours a week
                              ,                              8 weeks long
                            ",1/27/2020,1,,English,1,https://www.classcentral.com/course/historyofrock1-690
Art & Design Courses,The 3D Printing Revolution,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Illinois at Urbana-Champaign"",
                                      ""institutionId"": ""17"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""The 3D Printing Revolution"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5991""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Illinois at Urbana-Champaign"",
                                      ""institutionId"": ""17"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""The 3D Printing Revolution"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5991""
                                    }}","3-4 hours a week
                              ,                              4 weeks long
                            ",1/27/2020,1,,English,2,https://www.classcentral.com/course/3d-printing-revolution-5991
Art & Design Courses,The Music of the Beatles,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Rochester"",
                                      ""institutionId"": ""57"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""The Music of the Beatles"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""1135""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Rochester"",
                                      ""institutionId"": ""57"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""The Music of the Beatles"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""1135""
                                    }}","2-4 hours a week
                              ,                              7 weeks long
                            ",1/27/2020,1,,English,3,https://www.classcentral.com/course/beatles-1135
Art & Design Courses,Gamification,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Pennsylvania"",
                                      ""institutionId"": ""5"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Gamification"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""343""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Pennsylvania"",
                                      ""institutionId"": ""5"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Gamification"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""343""
                                    }}","4-8 hours a week
                              ,                              6 weeks long
                            ",1/27/2020,1,,English,4,https://www.classcentral.com/course/gamification-343
Art & Design Courses,Songwriting: Writing the Lyrics,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Berklee College of Music"",
                                      ""institutionId"": ""32"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Songwriting: Writing the Lyrics"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""523""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Berklee College of Music"",
                                      ""institutionId"": ""32"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Songwriting: Writing the Lyrics"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""523""
                                    }}","6-8 hours a week
                              ,                              6 weeks long
                            ",2/3/2020,1,,English,5,https://www.classcentral.com/course/songwriting-lyrics-523
Art & Design Courses,Modern Art & Ideas,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""The Museum of Modern Art"",
                                      ""institutionId"": ""91"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Modern Art & Ideas"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""4163""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""The Museum of Modern Art"",
                                      ""institutionId"": ""91"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Modern Art & Ideas"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""4163""
                                    }}","2-2 hours a week
                              ,                              5 weeks long
                            ",1/20/2020,1,,English,6,https://www.classcentral.com/course/modern-art-ideas-4163
Art & Design Courses,"History of Rock, Part Two","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Rochester"",
                                      ""institutionId"": ""57"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""History of Rock, Part Two"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""692""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Rochester"",
                                      ""institutionId"": ""57"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""History of Rock, Part Two"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""692""
                                    }}","2-4 hours a week
                              ,                              7 weeks long
                            ",1/27/2020,1,,English,7,https://www.classcentral.com/course/historyofrock2-692
Art & Design Courses,Music's Big Bang: The Genesis of Rock 'n' Roll,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Florida"",
                                      ""institutionId"": ""36"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Music's Big Bang: The Genesis of Rock 'n' Roll"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""538""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Florida"",
                                      ""institutionId"": ""36"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Music's Big Bang: The Genesis of Rock 'n' Roll"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""538""
                                    }}","4-6 hours a week
                              ,                              7 weeks long
                            ",1/27/2020,1,,English,8,https://www.classcentral.com/course/musicsbigbang-538
Art & Design Courses,3D Printing Software,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Illinois at Urbana-Champaign"",
                                      ""institutionId"": ""17"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""3D Printing Software"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5993""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Illinois at Urbana-Champaign"",
                                      ""institutionId"": ""17"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""3D Printing Software"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5993""
                                    }}","3-5 hours a week
                              ,                              6 weeks long
                            ",1/20/2020,1,,English,9,https://www.classcentral.com/course/3d-printing-software-5993
